Date,Open,High,Low,Close,Adj Close,Volume
2014/1/1,19.845715,20.007143,17.626785,17.878571,15.900002,8765954400
2014/2/1,17.950357,19.685356,17.832144,18.794287,16.71438,5880366800
2014/3/1,18.693571,19.607143,18.671785,19.169287,17.149929,5001698800
2014/4/1,19.205713,21.408215,18.261786,21.074642,18.854563,6435060800
2014/5/1,21.142857,23.006071,20.72607,22.607143,20.225624,5735668400
2014/6/1,22.64143,23.762501,22.232143,23.2325,20.901197,4827739200
2014/7/1,23.379999,24.860001,23.1425,23.9,21.501711,4140344000
2014/8/1,23.725,25.725,23.32,25.625,23.053619,3748308000
2014/9/1,25.764999,25.934999,24.035,25.1875,22.77273,6105680000
2014/10/1,25.147499,27.01,23.795,27,24.411461,5441120800
2014/11/1,27.055,29.9375,26.93,29.7325,26.881992,3281632800
2014/12/1,29.702499,29.8125,26.565001,27.594999,25.057606,4294378400
2015/1/1,27.8475,30,26.157499,29.290001,26.59675,5221053600
2015/2/1,29.512501,33.400002,29.02,32.115002,29.161987,4546140800
2015/3/1,32.3125,32.57,30.407499,31.1075,28.358606,4554568400
2015/4/1,31.205,33.634998,30.775,31.2875,28.522703,3984542000
2015/5/1,31.525,33.2425,30.84,32.57,29.691864,3816608400
2015/6/1,32.57,32.8475,31.120001,31.3575,28.705923,3514426800
2015/7/1,31.725,33.2425,29.805,30.325001,27.760731,4233122400
2015/8/1,30.375,30.6425,23,28.190001,25.806267,6427276400
2015/9/1,27.5375,29.2225,26.84,27.575001,25.357531,4826189200
2015/10/1,27.2675,30.305,26.827499,29.875,27.472578,4450048400
2015/11/1,30.200001,30.955,27.75,29.575001,27.196701,3002562400
2015/12/1,29.6875,29.965,26.205,26.315001,24.302439,3687660800
2016/1/1,25.6525,26.4625,23.0975,24.334999,22.473866,5087392000
2016/2/1,24.1175,24.7225,23.147499,24.172501,22.323797,3243450400
2016/3/1,24.4125,27.605,24.355,27.247499,25.300169,2984198400
2016/4/1,27.195,28.0975,23.127501,23.434999,21.760138,3489534800
2016/5/1,23.4925,25.182501,22.3675,24.965,23.18079,3602686000
2016/6/1,24.754999,25.4725,22.875,23.9,22.327021,3117990800
2016/7/1,23.872499,26.137501,23.592501,26.0525,24.337851,2743118400
2016/8/1,26.102501,27.557501,26,26.525,24.779259,2520514000
2016/9/1,26.535,29.045,25.6325,28.262501,26.545429,3872062400
2016/10/1,28.1775,29.672501,28.07,28.385,26.660484,2747657200
2016/11/1,28.365,28.442499,26.02,27.629999,25.951357,2886220000
2016/12/1,27.592501,29.504999,27.0625,28.955,27.335484,2435086800
2017/1/1,28.950001,30.610001,28.690001,30.3375,28.640661,2252488000
2017/2/1,31.7575,34.369999,31.752501,34.247501,32.331974,2299874400
2017/3/1,34.4725,36.125,34.262501,35.915001,34.053204,2246513600
2017/4/1,35.927502,36.365002,35.014999,35.912498,34.050831,1493216400
2017/5/1,36.275002,39.162498,36.067501,38.189999,36.210274,2615927200
2017/6/1,38.2925,38.994999,35.549999,36.005001,34.279442,2736712400
2017/7/1,36.220001,38.497501,35.602501,37.182499,35.400517,1688047600
2017/8/1,37.275002,41.130001,37.102501,41,39.035057,2644276000
2017/9/1,41.200001,41.235001,37.290001,38.529999,36.827488,2721496400
2017/10/1,38.564999,42.412498,38.115002,42.259998,40.392677,2017165200
2017/11/1,42.467499,44.060001,41.32,42.962502,41.064133,2402653600
2017/12/1,42.487499,44.299999,41.615002,42.307499,40.583443,2124735200
2018/1/1,42.540001,45.025002,41.174999,41.857498,40.151787,2638717600
2018/2/1,41.7925,45.154999,37.560001,44.529999,42.71537,3711577200
2018/3/1,44.634998,45.875,41.235001,41.945,40.399765,2854910800
2018/4/1,41.66,44.735001,40.157501,41.314999,39.792973,2664617200
2018/5/1,41.602501,47.592499,41.317501,46.717499,44.996445,2483905200
2018/6/1,46.997501,48.549999,45.182499,46.2775,44.744537,2110498000
2018/7/1,45.955002,48.990002,45.855,47.572498,45.996632,1574765600
2018/8/1,49.782501,57.217499,49.327499,56.907501,55.022411,2801275600
2018/9/1,57.102501,57.4175,53.825001,56.435001,54.756927,2715888000
2018/10/1,56.987499,58.3675,51.522499,54.715,53.088074,3158994000
2018/11/1,54.762501,55.59,42.564999,44.645,43.317505,3845305600
2018/12/1,46.115002,46.235001,36.647499,39.435001,38.39592,3595690000
2019/1/1,38.7225,42.25,35.5,41.610001,40.513611,3312349600
2019/2/1,41.740002,43.967499,41.482498,43.287498,42.146912,1890162400
2019/3/1,43.57,49.422501,42.375,47.487499,46.434544,2603925600
2019/4/1,47.91,52.119999,47.095001,50.1675,49.055115,2024470800
2019/5/1,52.470001,53.827499,43.747501,43.767502,42.797031,2957826400
2019/6/1,43.900002,50.392502,42.567501,49.48,48.56918,2060874800
2019/7/1,50.7925,55.342499,49.602501,53.259998,52.279598,1895406800
2019/8/1,53.474998,54.5075,48.145,52.185001,51.224396,2724326400
2019/9/1,51.607498,56.605,51.055,55.9925,55.170628,2170268400
2019/10/1,56.267502,62.4375,53.782501,62.189999,61.277161,2433210800
2019/11/1,62.384998,67,62.290001,66.8125,65.831795,1793326000
2019/12/1,66.817497,73.4925,64.072502,73.412498,72.552094,2388794800
